,source,target,weight
0,Dr. Doctor,Sharon,42
1,Dr. Doctor,Shelly,12
2,Shelly,Stan,15
3,Sharon,Shelly,6
4,Dr. Doctor,Stan,7
5,Sharon,Stan,38
6,Liane,Sheila,6
7,Sharon,Sheila,10
8,Liane,Sharon,4
9,Cartman,Sheila,2
10,Kyle,Sheila,80
11,Cartman,Kyle,18
12,Cartman,Sharon,2
13,Kyle,Sharon,3
14,Stan,Stuart,8
15,Carol,Stan,10
16,Carol,Stuart,19
17,Carol,Cartman,22
18,Cartman,Kenny,18
19,Cartman,Stan,23
20,Cartman,Stuart,15
21,Carol,Kenny,12
22,Carol,Kyle,6
23,Kenny,Kyle,4
24,Kenny,Stan,10
25,Kenny,Stuart,8
26,Kyle,Stan,69
27,Kyle,Stuart,2
28,Cartman,Kevin,4
29,Carol,Kevin,4
30,Kevin,Stuart,3
31,Kenny,Kevin,2
32,Kevin,Stan,1
33,Cartman,Liane,8
34,Gerald,Kyle,29
35,Gerald,Sheila,24
36,Dr. Doctor,TV Voice,1
37,Dr. Doctor,Phillip,1
38,Sharon,TV Voice,1
39,Phillip,Sharon,1
40,Stan,TV Voice,4
41,Phillip,Stan,4
42,Shelly,TV Voice,3
43,Phillip,Shelly,3
44,Phillip,TV Voice,1
45,Randy,Sharon,40
46,Dr. Doctor,Randy,42
47,Carol,Sheila,32
48,Phillip,Terrance,18
49,Gerald,Stuart,22
50,Kyle,Mr. Garrison,9
51,Randy,Stan,20
52,Chef,Kyle,20
53,Chef,Stan,10
54,Kyle,Randy,4
55,Randy,Sheila,4
56,Sheila,Stan,5
57,Dr. Doctor,Kyle,2
58,Cartman,Dr. Doctor,1
59,Gerald,Stan,2
60,Gerald,Sharon,1
61,Gerald,Randy,1
62,Gerald,Liane,1
63,Liane,Stuart,1
64,Cartman,Gerald,1
