,source,target,weight
0,Ms. Choksondik,Rancher,1
1,Kids,Rancher,2
2,Kyle,Rancher,5
3,Cartman,Rancher,5
4,Rancher,Stan,3
5,Butters,Rancher,1
6,Kids,Ms. Choksondik,2
7,Kyle,Ms. Choksondik,5
8,Cartman,Ms. Choksondik,5
9,Ms. Choksondik,Stan,3
10,Butters,Ms. Choksondik,1
11,Kids,Kyle,10
12,Cartman,Kids,10
13,Kids,Stan,6
14,Butters,Kids,2
15,Cartman,Kyle,245
16,Kyle,Stan,224
17,Butters,Kyle,89
18,Cartman,Stan,267
19,Butters,Cartman,63
20,Butters,Stan,107
21,Officer Barbrady,Sharon,10
22,Sharon,Shelly,12
23,Sharon,Stan,73
24,Randy,Sharon,15
25,Butters,Sharon,36
26,Kyle,Sharon,36
27,Officer Barbrady,Shelly,2
28,Officer Barbrady,Stan,6
29,Officer Barbrady,Randy,4
30,Butters,Officer Barbrady,3
31,Kyle,Officer Barbrady,3
32,Shelly,Stan,12
33,Randy,Shelly,4
34,Butters,Shelly,2
35,Kyle,Shelly,2
36,Randy,Stan,16
37,Butters,Randy,4
38,Kyle,Randy,3
39,Sharon,Sheila,32
40,Kyle,Sheila,25
41,Sheila,Stephen,25
42,Butters,Sheila,25
43,Sheila,Stan,30
44,Cartman,Sheila,10
45,Sharon,Stephen,30
46,Cartman,Sharon,17
47,Kyle,Stephen,25
48,Butters,Stephen,25
49,Stan,Stephen,30
50,Cartman,Stephen,10
51,Liane,Sheila,5
52,Liane,Sharon,2
53,Butters,Field reporter,8
54,Field reporter,Thomas,4
55,Field reporter,Randy,4
56,Field reporter,Stan,8
57,Field reporter,Kyle,4
58,Butters,Thomas,2
59,Randy,Thomas,1
60,Stan,Thomas,2
61,Kyle,Thomas,1
62,Butters,Voices,2
63,Kyle,Voices,2
64,Cartman,Voices,2
65,Stan,Voices,1
66,FBI agent,Sharon,7
67,FBI agent,Officer Barbrady,13
68,Cartman,Randy,10
69,Adults,Officer Barbrady,2
70,Adults,FBI agent,4
71,Adults,Sharon,1
72,Adults,Randy,1
73,FBI agent,Randy,4
74,Cartman,FBI agent,8
75,FBI agent,Kyle,5
76,FBI agent,Stan,4
77,Butters,FBI agent,1
